player_name,total_slumps,next_game_recoveries,next_game_recovery_rate
Aaron Wiggins,19,8,0.42105263157894735
Alex Sarr,25,6,0.24
Alperen Şengün,23,8,0.34782608695652173
Amen Thompson,21,16,0.7619047619047619
Andrew Wiggins,20,8,0.4
Anfernee Simons,21,6,0.2857142857142857
Anthony Davis,15,8,0.5333333333333333
Anthony Edwards,25,13,0.52
Austin Reaves,25,16,0.64
Bam Adebayo,24,7,0.2916666666666667
Bennedict Mathurin,20,9,0.45
Bradley Beal,14,8,0.5714285714285714
Brook Lopez,28,17,0.6071428571428571
Bub Carrington,26,9,0.34615384615384615
Buddy Hield,30,13,0.43333333333333335
CJ McCollum,21,7,0.3333333333333333
Cade Cunningham,20,11,0.55
Cameron Johnson,19,13,0.6842105263157895
Christian Braun,22,14,0.6363636363636364
Coby White,24,13,0.5416666666666666
Collin Sexton,18,11,0.6111111111111112
Damian Lillard,18,8,0.4444444444444444
Darius Garland,16,9,0.5625
De'Aaron Fox,18,7,0.3888888888888889
De'Andre Hunter,19,13,0.6842105263157895
DeMar DeRozan,24,13,0.5416666666666666
Deni Avdija,22,12,0.5454545454545454
Dennis Schröder,25,8,0.32
Derrick Jones Jr.,24,9,0.375
Derrick White,24,12,0.5
Desmond Bane,15,8,0.5333333333333333
Devin Booker,23,13,0.5652173913043478
Devin Vassell,22,8,0.36363636363636365
Dillon Brooks,25,14,0.56
Domantas Sabonis,19,9,0.47368421052631576
Donovan Mitchell,17,9,0.5294117647058824
Dyson Daniels,25,9,0.36
Evan Mobley,23,14,0.6086956521739131
Franz Wagner,18,6,0.3333333333333333
Giannis Antetokounmpo,18,15,0.8333333333333334
Harrison Barnes,29,18,0.6206896551724138
Ivica Zubac,27,17,0.6296296296296297
Ja Morant,14,6,0.42857142857142855
Jaden McDaniels,28,12,0.42857142857142855
Jakob Poeltl,17,8,0.47058823529411764
Jalen Brunson,21,13,0.6190476190476191
Jalen Duren,22,18,0.8181818181818182
Jalen Green,33,11,0.3333333333333333
Jalen Williams,22,10,0.45454545454545453
Jamal Murray,24,13,0.5416666666666666
James Harden,29,17,0.5862068965517241
Jaren Jackson Jr.,19,7,0.3684210526315789
Jarrett Allen,24,17,0.7083333333333334
Jaylen Brown,19,6,0.3157894736842105
Jayson Tatum,22,9,0.4090909090909091
Jimmy Butler,11,5,0.45454545454545453
Jonas Valančiūnas,25,15,0.6
Jordan Poole,21,8,0.38095238095238093
Josh Giddey,23,8,0.34782608695652173
Josh Hart,19,13,0.6842105263157895
Julius Randle,22,9,0.4090909090909091
Karl-Anthony Towns,21,14,0.6666666666666666
Kawhi Leonard,12,5,0.4166666666666667
Keegan Murray,25,8,0.32
Keldon Johnson,25,11,0.44
Kelly Oubre Jr.,20,8,0.4
Keon Johnson,21,6,0.2857142857142857
Kevin Durant,17,13,0.7647058823529411
Keyonte George,19,7,0.3684210526315789
Klay Thompson,23,13,0.5652173913043478
Kyle Kuzma,20,5,0.25
Kyrie Irving,11,7,0.6363636363636364
LaMelo Ball,12,3,0.25
LeBron James,20,6,0.3
Luka Dončić,15,8,0.5333333333333333
Malik Beasley,25,15,0.6
Malik Monk,21,7,0.3333333333333333
Michael Porter Jr.,25,15,0.6
Mikal Bridges,26,7,0.2692307692307692
Miles Bridges,21,5,0.23809523809523808
Myles Turner,22,10,0.45454545454545453
Naji Marshall,19,9,0.47368421052631576
Naz Reid,24,13,0.5416666666666666
Nic Claxton,21,9,0.42857142857142855
Nikola Jokić,21,20,0.9523809523809523
Nikola Vučević,26,13,0.5
Norman Powell,16,10,0.625
OG Anunoby,25,7,0.28
Obi Toppin,25,17,0.68
Onyeka Okongwu,20,10,0.5
P.J. Washington,16,9,0.5625
Paolo Banchero,14,6,0.42857142857142855
Pascal Siakam,26,14,0.5384615384615384
Payton Pritchard,25,12,0.48
Quentin Grimes,24,15,0.625
RJ Barrett,17,5,0.29411764705882354
Rudy Gobert,26,19,0.7307692307692307
Russell Westbrook,21,8,0.38095238095238093
Santi Aldama,20,8,0.4
Scottie Barnes,18,5,0.2777777777777778
Shaedon Sharpe,24,7,0.2916666666666667
Shai Gilgeous-Alexander,24,18,0.75
Stephen Curry,21,14,0.6666666666666666
Stephon Castle,21,6,0.2857142857142857
T.J. McConnell,22,11,0.5
Tobias Harris,23,10,0.43478260869565216
Toumani Camara,27,11,0.4074074074074074
Trae Young,23,9,0.391304347826087
Trey Murphy III,18,4,0.2222222222222222
Ty Jerome,27,14,0.5185185185185185
Tyler Herro,19,8,0.42105263157894735
Tyrese Haliburton,19,13,0.6842105263157895
Tyrese Maxey,13,4,0.3076923076923077
Tyus Jones,28,12,0.42857142857142855
Victor Wembanyama,19,10,0.5263157894736842
Zaccharie Risacher,25,11,0.44
Zach LaVine,20,15,0.75
